bank_txn_id,amount,currency,type,transaction_date,description,reference
BNK_1DA7625B,1168165,INR,CREDIT,2026-08-26T15:07:46Z,SETTLEMENT SET_47F4422D,SET_47F4422D
BNK_777C6F33,1732427,INR,CREDIT,2026-07-04T14:59:06Z,SETTLEMENT SET_D378E6FB,SET_D378E6FB
BNK_E1ED767E,1441653,INR,CREDIT,2026-08-17T21:35:28Z,SETTLEMENT SET_28224AF9,SET_28224AF9
BNK_112B0656,1463331,INR,CREDIT,2026-08-30T02:04:07Z,SETTLEMENT SET_E2642D8D,SET_E2642D8D
BNK_216B09EB,1868440,INR,CREDIT,2026-08-23T02:54:49Z,SETTLEMENT SET_C6D5705E,SET_C6D5705E
BNK_7E5E8BAB,217249,INR,CREDIT,2026-07-21T23:42:24Z,SETTLEMENT SET_E92A5F7D,SET_E92A5F7D
BNK_217E2743,1066331,INR,CREDIT,2026-08-08T16:35:08Z,SETTLEMENT SET_E0AC0582,SET_E0AC0582
BNK_1C202EFB,1916674,INR,CREDIT,2026-07-29T20:40:31Z,SETTLEMENT SET_A831C3B8,SET_A831C3B8
BNK_7210E96E,1006181,INR,CREDIT,2026-08-02T16:11:38Z,SETTLEMENT SET_8BD0C1B1,SET_8BD0C1B1
BNK_B6D34471,332367,INR,CREDIT,2026-09-01T18:06:41Z,SETTLEMENT SET_3656F79E,SET_3656F79E
BNK_7CAFAB3F,572269,INR,CREDIT,2026-08-27T20:28:33Z,SETTLEMENT SET_1786B757,SET_1786B757
BNK_26BF4CDA,668053,INR,CREDIT,2026-07-31T20:46:32Z,SETTLEMENT SET_A2F702F3,SET_A2F702F3
BNK_D60FCF62,685776,INR,CREDIT,2026-07-06T15:14:17Z,SETTLEMENT SET_A76CDA84,SET_A76CDA84
BNK_42CCFF4A,185809,INR,CREDIT,2026-08-31T03:54:17Z,SETTLEMENT SET_A7351B5E,SET_A7351B5E
BNK_9C98EE2C,1840612,INR,CREDIT,2026-08-27T05:13:19Z,SETTLEMENT SET_8B52FDFF,SET_8B52FDFF
BNK_6E42656C,1847740,INR,CREDIT,2026-08-25T13:51:50Z,SETTLEMENT SET_2399E0E9,SET_2399E0E9
BNK_2BE43AB7,533408,INR,CREDIT,2026-07-30T23:45:39Z,SETTLEMENT SET_298A8CBB,SET_298A8CBB
BNK_37FB339E,1324097,INR,CREDIT,2026-08-19T01:39:47Z,SETTLEMENT SET_9BA8ECD5,SET_9BA8ECD5
BNK_5BB5CCD1,716092,INR,CREDIT,2026-07-03T04:10:52Z,SETTLEMENT SET_15F3B3A9,SET_15F3B3A9
BNK_E64E6F9B,230138,INR,CREDIT,2026-08-31T06:38:24Z,SETTLEMENT SET_BE7BC29A,SET_BE7BC29A
BNK_404A38B7,1183690,INR,CREDIT,2026-08-26T01:48:07Z,SETTLEMENT SET_594A3E06,SET_594A3E06
BNK_4BB630CE,1011160,INR,CREDIT,2026-07-30T16:02:39Z,SETTLEMENT SET_4CE95559,SET_4CE95559
BNK_522B3CE3,708669,INR,CREDIT,2026-07-03T01:40:33Z,SETTLEMENT SET_CE38DD35,SET_CE38DD35
BNK_82C1F437,-41028,INR,CREDIT,2026-08-10T10:42:59Z,SETTLEMENT SET_410A132D,SET_410A132D
BNK_F00505F9,39349,INR,CREDIT,2026-07-25T18:18:19Z,SETTLEMENT SET_439639AC,SET_439639AC
