chargeback_id,payment_id,amount,currency,created_at
CHB_0C434ACB,PAY_18969029,1738500,INR,2026-08-09T10:42:59Z
CHB_279ECCA8,PAY_1C168E6E,427800,INR,2026-08-14T18:18:58Z
CHB_A4051131,PAY_A96FFECE,1526600,INR,2026-08-15T07:29:28Z
CHB_14EB5651,PAY_E4020035,532100,INR,2026-07-23T11:06:19Z
CHB_26FF612E,PAY_731678BD,504900,INR,2026-07-28T20:36:00Z
CHB_0380D743,PAY_CFA71C92,425500,INR,2026-07-02T09:21:07Z
CHB_D0290CC2,PAY_521C40EF,1449800,INR,2026-08-21T02:03:20Z
CHB_70CD461B,PAY_0BFF0F02,72400,INR,2026-07-11T20:56:03Z
CHB_24B15944,PAY_F98F5BC2,1573900,INR,2026-08-18T04:31:54Z
CHB_71FA6174,PAY_069C2068,1143600,INR,2026-08-04T21:33:37Z
CHB_7BF5DAF9,PAY_A776DA96,956600,INR,2026-08-18T22:10:45Z
CHB_8C23EDBA,PAY_39A9D518,176000,INR,2026-07-11T09:08:38Z
CHB_0425D5ED,PAY_0B7C8820,513700,INR,2026-08-20T19:42:39Z
CHB_F00F805C,PAY_1DB486C7,473800,INR,2026-08-02T21:13:18Z
CHB_0FC0C1FB,PAY_D8815CFF,231000,INR,2026-07-21T23:02:54Z
CHB_8DE42AF6,PAY_3B35CAD2,306300,INR,2026-08-18T02:35:27Z
CHB_F385CF40,PAY_9331E639,88200,INR,2026-07-24T07:27:25Z
CHB_1314479A,PAY_0D7CC82B,1149200,INR,2026-08-15T14:43:40Z
CHB_F45795DA,PAY_6678EDB6,855100,INR,2026-08-12T21:25:11Z
CHB_B9362494,PAY_1B10A9A3,725000,INR,2026-07-10T02:45:40Z
CHB_6FDE4FAC,PAY_7B9180DF,913000,INR,2026-07-26T18:18:02Z
CHB_DA199F1F,PAY_DDD9DB17,1436900,INR,2026-07-17T15:45:29Z
CHB_89C986DB,PAY_00E345F0,312700,INR,2026-07-25T04:33:34Z
CHB_EED40798,PAY_29E97033,61700,INR,2026-07-11T13:10:11Z
CHB_27CA6DC3,PAY_AAE422AE,1430200,INR,2026-08-28T19:26:13Z
CHB_CEE00A9C,PAY_892AD138,276400,INR,2026-07-13T16:55:19Z
CHB_716B9CCE,PAY_067FC006,1799100,INR,2026-07-04T21:59:28Z
CHB_9E127C7C,PAY_C4A5639E,919400,INR,2026-07-06T06:50:59Z
CHB_E5E05D5B,PAY_C6B2FB87,1809200,INR,2026-07-30T05:00:52Z
CHB_8FFC2885,PAY_52C0EA47,1368700,INR,2026-08-26T19:23:30Z
CHB_24BEA990,PAY_252C5D13,284700,INR,2026-07-14T17:55:10Z
CHB_0319EAC9,PAY_83A08629,1120900,INR,2026-07-29T05:10:57Z
CHB_F885E259,PAY_DC96754D,967600,INR,2026-08-17T21:31:11Z
CHB_9623DFED,PAY_5F79E13B,1029400,INR,2026-07-16T00:47:50Z
CHB_88F6AC99,PAY_B70BFDCA,701000,INR,2026-07-29T01:43:53Z
CHB_EDD4338D,PAY_351838C3,908200,INR,2026-07-11T06:28:50Z
CHB_E8A83DB5,PAY_BEB5F561,1706300,INR,2026-07-18T08:21:39Z
CHB_01F724D4,PAY_A60BE76D,1105200,INR,2026-08-09T20:34:35Z
