case_id,payment_id,settlement_id,bank_txn_id,anomaly_type,expected_decision,expected_settlement,actual_settlement
CASE_00000,PAY_4B4B1C94,SET_AA2096AF,BNK_E1E43DA9,ONE_TO_MANY,MATCHED,1168165,1168165
CASE_00001,PAY_A6F81C15,SET_74EF08C0,BNK_43443C57,CLEAN,MATCHED,1732427,1732427
CASE_00002,PAY_08E281AD,SET_EB77BEB0,BNK_474767C5,FEE_VARIANCE,EXCEPTION,1441753,1441653
CASE_00003,PAY_CECEDC82,SET_A48AD133,BNK_7B276E54,TIMING_DIFFERENCE,MATCHED,1463331,1463331
CASE_00004,PAY_43B78AAE,SET_C8EE2598,BNK_FDD4B484,CLEAN,MATCHED,1868440,1868440
CASE_00005,PAY_3043002D,SET_1A1C479D,BNK_66CC292A,OTHER,MATCHED,217249,217249
CASE_00006,PAY_5EACECEC,SET_E86AFA12,BNK_5B261515,UNEXPLAINED_DELTA,EXCEPTION,1107531,1066331
CASE_00007,PAY_C5783656,SET_BB9F86B2,BNK_4F094E53,TIMING_DIFFERENCE,MATCHED,1916674,1916674
CASE_00008,PAY_B811E249,SET_FB5F66B6,BNK_BC3AC644,CLEAN,MATCHED,1006181,1006181
CASE_00009,PAY_EEB705AB,SET_F631C369,BNK_AC0F54C1,AMBIGUOUS,REVIEW,332367,332367
CASE_00010,PAY_2C94C4A4,SET_F327F171,BNK_00846CF7,CLEAN,MATCHED,572269,572269
CASE_00011,PAY_177465CB,SET_8FC92C77,BNK_88F1E926,CLEAN,MATCHED,668053,668053
CASE_00012,PAY_FF0AC571,SET_8FDC3D6A,BNK_5426270A,TAX_VARIANCE,EXCEPTION,685726,685776
CASE_00013,PAY_C6C81CB7,SET_B23EAD2E,BNK_7EA54239,REFERENCE_TYPO,MATCHED,185809,185809
CASE_00014,PAY_8C17949E,SET_A019FE23,BNK_E84FAB24,CLEAN,MATCHED,1840612,1840612
CASE_00015,PAY_F09D55E2,SET_ECB048E6,BNK_574FDF7C,TIMING_DIFFERENCE,MATCHED,1847740,1847740
CASE_00016,,SET_9447A5D8,BNK_3B820B70,MISSING_PAYMENT,EXCEPTION,533408,533408
CASE_00017,PAY_4DDE1A48,SET_5C40238A,BNK_9620BB33,TIMING_DIFFERENCE,MATCHED,1324097,1324097
CASE_00018,PAY_D631FFE0,SET_4BF7C85A,BNK_EC2DC6E1,CLEAN,MATCHED,716092,716092
CASE_00019,PAY_FA7D0CDB,SET_29063A1C,BNK_254EA8C9,DUPLICATE,REVIEW,230138,230138
CASE_00020,PAY_FD450C82,SET_E7E03C4E,BNK_7F73D880,TIMING_DIFFERENCE,MATCHED,1183690,1183690
CASE_00021,PAY_D2409E30,SET_9C46D6FE,BNK_5958DB73,TIMING_DIFFERENCE,MATCHED,1011160,1011160
CASE_00022,PAY_7C07351C,SET_BC69C580,BNK_FDF95D24,FEE_VARIANCE,EXCEPTION,708769,708669
CASE_00023,PAY_E614460F,SET_7FFA84EB,BNK_A08C8368,CHARGEBACK,MATCHED,-41028,-41028
CASE_00024,PAY_AE0AC763,SET_00BAB2F4,BNK_77B48941,REFERENCE_TYPO,MATCHED,39349,39349
CASE_00025,PAY_E8C7F1D3,,,MISSING_SETTLEMENT,EXCEPTION,1632737,1632737
CASE_00026,PAY_B5ECBD9E,SET_E013A3BA,BNK_5F4AF34A,CLEAN,MATCHED,121465,121465
CASE_00027,PAY_376FEBA8,SET_E26B61C0,BNK_0D8BC16E,CLEAN,MATCHED,272709,272709
CASE_00028,PAY_D172F4A5,SET_571EAD34,BNK_90D2A8B0,OTHER,MATCHED,815685,815685
CASE_00029,PAY_557FE8B3,SET_3D5A1E98,BNK_EDC1F9AD,FEE_VARIANCE,EXCEPTION,1631174,1631074
CASE_00030,PAY_290B0300,SET_26A7B2B3,BNK_8CBAE9E2,UNEXPLAINED_DELTA,EXCEPTION,1693371,1671971
CASE_00031,PAY_F92C2EAF,SET_8009AE6E,BNK_4BD26B39,REFERENCE_TYPO,MATCHED,1535780,1535780
CASE_00032,PAY_0549361A,SET_6F66D193,BNK_4473F35B,CHARGEBACK,MATCHED,-10096,-10096
CASE_00033,PAY_85898412,SET_D1347095,BNK_889BE35F,CLEAN,MATCHED,1513420,1513420
CASE_00034,PAY_0027F3CF,SET_8D0071FF,BNK_9ACEDC1D,CLEAN,MATCHED,417704,417704
CASE_00035,PAY_2F7B1E29,SET_E5DF4C6B,BNK_9005958C,CLEAN,MATCHED,895066,895066
CASE_00036,PAY_3EFBD1D8,SET_5E32EBBA,BNK_6BC44754,CLEAN,MATCHED,249080,249080
CASE_00037,PAY_03B8B07E,SET_FE04DA7B,BNK_F9D97C3E,REFUND,MATCHED,935698,935698
CASE_00038,PAY_2EB9F3E7,SET_1BB55A0C,BNK_8F5ED7E2,CLEAN,MATCHED,288038,288038
CASE_00039,PAY_192C16A6,SET_B2AF6BD1,BNK_BF756613,HIGH_VALUE_ANOMALY,REVIEW,29292000,29292000
CASE_00040,PAY_16FA7783,SET_05962FBF,BNK_BA6A73C2,CLEAN,MATCHED,1204097,1204097
CASE_00041,,SET_5F447287,BNK_B43A7B4B,MISSING_PAYMENT,EXCEPTION,1809563,1809563
CASE_00042,PAY_88538AC1,SET_A3824186,BNK_6AA9B629,TIMING_DIFFERENCE,MATCHED,1587920,1587920
CASE_00043,PAY_D4C92AC9,SET_5647F8C4,BNK_BB2A76A8,REFERENCE_TYPO,MATCHED,1923997,1923997
CASE_00044,PAY_64D31379,SET_2235C187,BNK_2249FB89,DUPLICATE,REVIEW,1312966,1312966
CASE_00045,PAY_B28CC808,SET_DBFB805B,BNK_D679AAB6,CLEAN,MATCHED,461935,461935
CASE_00046,PAY_7F07E7D7,SET_2F5509EB,BNK_BC4F8A1D,CLEAN,MATCHED,1501899,1501899
CASE_00047,PAY_6A28FB28,SET_DFD228AF,BNK_7B32760F,DUPLICATE,REVIEW,1279084,1279084
CASE_00048,PAY_EDAF0D7A,SET_5BB65277,BNK_5F8C723F,CLEAN,MATCHED,1317652,1317652
CASE_00049,PAY_FB7BB419,SET_A6512222,BNK_E8FA889A,ONE_TO_MANY,MATCHED,1361004,1361004
CASE_00050,PAY_BCABB3E6,SET_717D4401,BNK_77037607,REFUND,MATCHED,272311,272311
CASE_00051,PAY_461481E0,SET_FE91F088,BNK_2B551360,TIMING_DIFFERENCE,MATCHED,159056,159056
CASE_00052,PAY_4A269938,SET_8C86EDA4,BNK_EBAA183D,HIGH_VALUE_ANOMALY,REVIEW,58584000,58584000
CASE_00053,PAY_CF50C469,SET_FBE4EDE2,BNK_529533AF,CLEAN,MATCHED,713651,713651
CASE_00054,PAY_6A62D0E5,SET_0C8DE7DD,BNK_CA3A2A49,DUPLICATE,REVIEW,1324194,1324194
CASE_00055,PAY_2971F692,SET_6488539C,BNK_0224EBA7,CLEAN,MATCHED,673619,673619
CASE_00056,PAY_38803625,SET_8B78D0F4,BNK_A8A7A506,CHARGEBACK,MATCHED,-36027,-36027
CASE_00057,PAY_C10AC23A,SET_A29006DA,BNK_7A9F030B,FEE_VARIANCE,EXCEPTION,968296,968196
CASE_00058,PAY_1F1A7B20,SET_97B014DD,BNK_FC3D8510,TIMING_DIFFERENCE,MATCHED,215297,215297
CASE_00059,PAY_0F9C6F36,SET_BA63C7B1,BNK_4A7EEAF5,CLEAN,MATCHED,371814,371814
CASE_00060,PAY_907CB983,SET_DC54C0BE,BNK_421A0FF3,OTHER,MATCHED,1903492,1903492
CASE_00061,PAY_97880A3D,SET_19780CD9,BNK_E0C962C2,CLEAN,MATCHED,1728326,1728326
CASE_00062,PAY_2B23B7DE,SET_4C7CBAFA,BNK_EE93CDD8,TAX_VARIANCE,EXCEPTION,814025,814075
CASE_00063,PAY_82F6B0E4,SET_95EC9ABC,BNK_D8A5F05C,CLEAN,MATCHED,288429,288429
CASE_00064,PAY_E1ACC37D,,,MISSING_SETTLEMENT,EXCEPTION,517590,517590
CASE_00065,PAY_3737451C,SET_397C9F73,BNK_9EE3D32F,TIMING_DIFFERENCE,MATCHED,711894,711894
CASE_00066,PAY_1F7444FD,SET_680F9ECE,BNK_61164EBA,CHARGEBACK,MATCHED,-12557,-12557
CASE_00067,PAY_C766E96D,,,MISSING_SETTLEMENT,EXCEPTION,1169630,1169630
CASE_00068,PAY_D3109604,SET_DEEED275,BNK_925DC631,FEE_VARIANCE,EXCEPTION,612984,612884
CASE_00069,PAY_5D57C3FF,SET_7B79E049,BNK_114A8F73,CLEAN,MATCHED,871145,871145
CASE_00070,PAY_96C1C795,SET_01E9E6B6,BNK_A547396F,DUPLICATE,REVIEW,1041526,1041526
CASE_00071,PAY_61F74A27,SET_55FEEAD0,BNK_624C837E,CLEAN,MATCHED,122832,122832
CASE_00072,PAY_55100951,SET_4720DC41,BNK_88CA85B7,CLEAN,MATCHED,1830165,1830165
CASE_00073,PAY_68618C59,SET_3D8435A5,BNK_36C3E549,DUPLICATE,REVIEW,1533827,1533827
CASE_00074,PAY_7A16432D,SET_1325833A,BNK_B8D32D72,REFUND,MATCHED,841561,841561
CASE_00075,PAY_2674E723,SET_42242A4F,BNK_E11B5024,CHARGEBACK,MATCHED,-11915,-11915
CASE_00076,PAY_D23E4578,SET_306F379F,BNK_3D6339B6,FEE_VARIANCE,EXCEPTION,661804,661704
CASE_00077,PAY_6016FD81,SET_D8BCD7C5,BNK_865F24EB,CLEAN,MATCHED,981282,981282
CASE_00078,PAY_943C2258,SET_25B4EC3B,BNK_A1661EDA,CLEAN,MATCHED,1589873,1589873
CASE_00079,PAY_8A409C57,SET_DD72BAEE,BNK_4EA9FEA7,CLEAN,MATCHED,278860,278860
