ledger_id,payment_id,account,amount,type,created_at
LDG_0DBF9CE2,PAY_26840E16,ACCOUNTS_RECEIVABLE,1196400,CREDIT,2026-08-24T15:07:46Z
LDG_9E2E876C,PAY_7C23BCB7,ACCOUNTS_RECEIVABLE,1774300,CREDIT,2026-07-02T14:59:06Z
LDG_1C0DE7EF,PAY_9A75B68F,ACCOUNTS_RECEIVABLE,1476600,CREDIT,2026-08-15T21:35:28Z
LDG_9A04B44A,PAY_9377FA4D,ACCOUNTS_RECEIVABLE,1498700,CREDIT,2026-08-23T02:04:07Z
LDG_AEB573A3,PAY_914D6552,ACCOUNTS_RECEIVABLE,1913600,CREDIT,2026-08-21T02:54:49Z
LDG_DC03876C,PAY_40CFB7F8,ACCOUNTS_RECEIVABLE,222500,CREDIT,2026-07-19T23:42:24Z
LDG_8576A266,PAY_B2424129,ACCOUNTS_RECEIVABLE,1134300,CREDIT,2026-08-06T16:35:08Z
LDG_2770803A,PAY_AABCA194,ACCOUNTS_RECEIVABLE,1963000,CREDIT,2026-07-22T20:40:31Z
LDG_81F31B71,PAY_09DBAE7D,ACCOUNTS_RECEIVABLE,1030500,CREDIT,2026-07-31T16:11:38Z
LDG_46ECF7C9,PAY_D96A64EF,ACCOUNTS_RECEIVABLE,340400,CREDIT,2026-08-30T18:06:41Z
LDG_824D958F,PAY_A5CDF18C,ACCOUNTS_RECEIVABLE,586100,CREDIT,2026-08-25T20:28:33Z
LDG_F1513E9B,PAY_02968BB7,ACCOUNTS_RECEIVABLE,684200,CREDIT,2026-07-29T20:46:32Z
LDG_C80CEA23,PAY_81DD87C6,ACCOUNTS_RECEIVABLE,702300,CREDIT,2026-07-04T15:14:17Z
LDG_93DDF5BE,PAY_8BD58030,ACCOUNTS_RECEIVABLE,190300,CREDIT,2026-08-29T03:54:17Z
LDG_C899BE69,PAY_0DF54C97,ACCOUNTS_RECEIVABLE,1885100,CREDIT,2026-08-25T05:13:19Z
LDG_E3CA8578,PAY_80917E9F,ACCOUNTS_RECEIVABLE,1892400,CREDIT,2026-08-18T13:51:50Z
LDG_7F4842BC,PAY_93988520,ACCOUNTS_RECEIVABLE,1356100,CREDIT,2026-08-12T01:39:47Z
LDG_14D3CB5E,PAY_DAB257AC,ACCOUNTS_RECEIVABLE,733400,CREDIT,2026-07-01T04:10:52Z
LDG_85B58878,PAY_278E6FA2,ACCOUNTS_RECEIVABLE,235700,CREDIT,2026-08-29T06:38:24Z
LDG_9ABB8486,PAY_7F766190,ACCOUNTS_RECEIVABLE,1212300,CREDIT,2026-08-19T01:48:07Z
LDG_144AC733,PAY_316A163F,ACCOUNTS_RECEIVABLE,1035600,CREDIT,2026-07-23T16:02:39Z
LDG_29C96CFE,PAY_BBBFD806,ACCOUNTS_RECEIVABLE,725900,CREDIT,2026-07-01T01:40:33Z
LDG_358675FF,PAY_18969029,ACCOUNTS_RECEIVABLE,1738500,CREDIT,2026-08-08T10:42:59Z
LDG_C80493BD,PAY_EF312A92,ACCOUNTS_RECEIVABLE,40300,CREDIT,2026-07-23T18:18:19Z
LDG_F8770C50,PAY_0B8F7C12,ACCOUNTS_RECEIVABLE,1672200,CREDIT,2026-08-24T07:48:16Z
LDG_5559C783,PAY_3E2E8B42,ACCOUNTS_RECEIVABLE,124400,CREDIT,2026-08-18T03:54:07Z
LDG_1D8C395A,PAY_BBB2AF68,ACCOUNTS_RECEIVABLE,279300,CREDIT,2026-07-13T01:51:55Z
LDG_A31BB402,PAY_D3574B18,ACCOUNTS_RECEIVABLE,835400,CREDIT,2026-08-27T08:09:45Z
LDG_9CC23162,PAY_710195DC,ACCOUNTS_RECEIVABLE,1670600,CREDIT,2026-07-19T19:00:17Z
