payment_id,order_id,merchant_id,amount,currency,status,created_at,reference
PAY_26840E16,ORD_F747B899,MERCH_002,1196400,INR,CAPTURED,2026-08-24T15:07:46Z,REF-PAY_26840E16
PAY_7C23BCB7,ORD_D5F9454C,MERCH_023,1774300,INR,CAPTURED,2026-07-02T14:59:06Z,REF-PAY_7C23BCB7
PAY_9A75B68F,ORD_E5945362,MERCH_043,1476600,INR,CAPTURED,2026-08-15T21:35:28Z,REF-PAY_9A75B68F
PAY_9377FA4D,ORD_B62E90C1,MERCH_020,1498700,INR,CAPTURED,2026-08-23T02:04:07Z,REF-PAY_9377FA4D
PAY_914D6552,ORD_6E2B1F42,MERCH_011,1913600,INR,CAPTURED,2026-08-21T02:54:49Z,REF-PAY_914D6552
PAY_40CFB7F8,ORD_50E0550D,MERCH_003,222500,INR,CAPTURED,2026-07-19T23:42:24Z,REF-PAY_40CFB7F8
PAY_B2424129,ORD_3A46FD10,MERCH_025,1134300,INR,CAPTURED,2026-08-06T16:35:08Z,REF-PAY_B2424129
PAY_AABCA194,ORD_980F6220,MERCH_043,1963000,INR,CAPTURED,2026-07-22T20:40:31Z,REF-PAY_AABCA194
PAY_09DBAE7D,ORD_8B81821F,MERCH_016,1030500,INR,CAPTURED,2026-07-31T16:11:38Z,REF-PAY_09DBAE7D
PAY_D96A64EF,ORD_F5B4144F,MERCH_024,340400,INR,CAPTURED,2026-08-30T18:06:41Z,REF-PAY_D96A64EF
PAY_A5CDF18C,ORD_34A9015B,MERCH_028,586100,INR,CAPTURED,2026-08-25T20:28:33Z,REF-PAY_A5CDF18C
PAY_02968BB7,ORD_0DEDD373,MERCH_026,684200,INR,CAPTURED,2026-07-29T20:46:32Z,REF-PAY_02968BB7
PAY_81DD87C6,ORD_43568BFD,MERCH_012,702300,INR,CAPTURED,2026-07-04T15:14:17Z,REF-PAY_81DD87C6
PAY_8BD58030,ORD_17F92A9E,MERCH_011,190300,INR,CAPTURED,2026-08-29T03:54:17Z,REF-PAY_8BD58030
PAY_0DF54C97,ORD_61A97DB5,MERCH_034,1885100,INR,CAPTURED,2026-08-25T05:13:19Z,REF-PAY_0DF54C97
PAY_80917E9F,ORD_A07974E7,MERCH_042,1892400,INR,CAPTURED,2026-08-18T13:51:50Z,REF-PAY_80917E9F
PAY_93988520,ORD_48641E76,MERCH_009,1356100,INR,CAPTURED,2026-08-12T01:39:47Z,REF-PAY_93988520
PAY_DAB257AC,ORD_A2C44FC1,MERCH_020,733400,INR,CAPTURED,2026-07-01T04:10:52Z,REF-PAY_DAB257AC
PAY_278E6FA2,ORD_3348B80B,MERCH_018,235700,INR,CAPTURED,2026-08-29T06:38:24Z,REF-PAY_278E6FA2
PAY_F9568BB1,ORD_3348B80B,MERCH_018,235700,INR,CAPTURED,2026-08-29T06:38:24Z,REF-PAY_278E6FA2
PAY_7F766190,ORD_76B794B2,MERCH_036,1212300,INR,CAPTURED,2026-08-19T01:48:07Z,REF-PAY_7F766190
PAY_316A163F,ORD_A209DFFA,MERCH_030,1035600,INR,CAPTURED,2026-07-23T16:02:39Z,REF-PAY_316A163F
PAY_BBBFD806,ORD_8168ED96,MERCH_038,725900,INR,CAPTURED,2026-07-01T01:40:33Z,REF-PAY_BBBFD806
PAY_18969029,ORD_F5D4E879,MERCH_032,1738500,INR,CAPTURED,2026-08-08T10:42:59Z,REF-PAY_18969029
PAY_EF312A92,ORD_0214E502,MERCH_049,40300,INR,CAPTURED,2026-07-23T18:18:19Z,REF-PAY_EF312A92
PAY_0B8F7C12,ORD_143C7EB1,MERCH_024,1672200,INR,CAPTURED,2026-08-24T07:48:16Z,REF-PAY_0B8F7C12
PAY_3E2E8B42,ORD_F2439534,MERCH_008,124400,INR,CAPTURED,2026-08-18T03:54:07Z,REF-PAY_3E2E8B42
PAY_BBB2AF68,ORD_AD5FD801,MERCH_034,279300,INR,CAPTURED,2026-07-13T01:51:55Z,REF-PAY_BBB2AF68
PAY_D3574B18,ORD_6B2ED90A,MERCH_001,835400,INR,CAPTURED,2026-08-27T08:09:45Z,REF-PAY_D3574B18
PAY_710195DC,ORD_592C53D7,MERCH_022,1670600,INR,CAPTURED,2026-07-19T19:00:17Z,REF-PAY_710195DC
PAY_DBE27323,ORD_4F978032,MERCH_002,1734300,INR,CAPTURED,2026-08-25T23:49:50Z,REF-PAY_DBE27323
PAY_AAF16CA9,ORD_905880BA,MERCH_031,1572900,INR,CAPTURED,2026-08-17T20:47:57Z,REF-PAY_AAF16CA9
PAY_1C168E6E,ORD_8177F95A,MERCH_002,427800,INR,CAPTURED,2026-08-13T18:18:58Z,REF-PAY_1C168E6E
PAY_47F179EA,ORD_7AA9E96A,MERCH_046,1550000,INR,CAPTURED,2026-07-31T07:16:08Z,REF-PAY_47F179EA
PAY_5895706C,ORD_8A60F3DE,MERCH_024,427800,INR,CAPTURED,2026-07-02T06:46:58Z,REF-PAY_5895706C
PAY_ACCB35E2,ORD_C068AAB3,MERCH_009,916700,INR,CAPTURED,2026-07-25T18:50:22Z,REF-PAY_ACCB35E2
PAY_4FCC85D7,ORD_8BF3D715,MERCH_014,255100,INR,CAPTURED,2026-07-17T22:46:41Z,REF-PAY_4FCC85D7
PAY_F505E5F0,ORD_BE2ADCFC,MERCH_047,1964100,INR,CAPTURED,2026-08-25T11:58:14Z,REF-PAY_F505E5F0
PAY_861DCD6D,ORD_6AD5B0ED,MERCH_030,295000,INR,CAPTURED,2026-08-07T12:57:12Z,REF-PAY_861DCD6D
PAY_DF6807FB,ORD_6906FEEE,MERCH_040,30000000,INR,CAPTURED,2026-08-01T22:27:59Z,REF-PAY_DF6807FB
PAY_7E36025E,ORD_8B3ACE91,MERCH_030,1233200,INR,CAPTURED,2026-07-23T06:45:10Z,REF-PAY_7E36025E
PAY_BA1BA703,ORD_DED29FD5,MERCH_022,1626300,INR,CAPTURED,2026-08-05T14:22:47Z,REF-PAY_BA1BA703
PAY_9A231A75,ORD_6CB90A27,MERCH_048,1970500,INR,CAPTURED,2026-07-01T13:07:11Z,REF-PAY_9A231A75
PAY_A011A2C9,ORD_215CDB07,MERCH_031,1344700,INR,CAPTURED,2026-07-16T16:01:42Z,REF-PAY_A011A2C9
PAY_AD1DDBAF,ORD_215CDB07,MERCH_031,1344700,INR,CAPTURED,2026-07-16T16:01:42Z,REF-PAY_A011A2C9
PAY_A42FAC93,ORD_C3190B9D,MERCH_047,473100,INR,CAPTURED,2026-07-24T08:33:28Z,REF-PAY_A42FAC93
PAY_0862452D,ORD_A22054D8,MERCH_014,1538200,INR,CAPTURED,2026-08-14T11:48:27Z,REF-PAY_0862452D
PAY_7E1C7BA9,ORD_89A9D8C5,MERCH_049,1310000,INR,CAPTURED,2026-08-07T20:05:07Z,REF-PAY_7E1C7BA9
PAY_EB89F0E3,ORD_89A9D8C5,MERCH_049,1310000,INR,CAPTURED,2026-08-07T20:05:07Z,REF-PAY_7E1C7BA9
