refund_id,payment_id,amount,currency,created_at
REF_954A0D4F,PAY_F505E5F0,982050,INR,2026-08-26T11:58:14Z
REF_85B5959C,PAY_B4C92F87,285800,INR,2026-08-19T06:37:15Z
REF_C266867D,PAY_8AC1FD38,883250,INR,2026-07-16T23:12:23Z
REF_0DF756AD,PAY_512DAAF5,134500,INR,2026-07-22T22:13:48Z
REF_D8F9D0EC,PAY_845F2801,538850,INR,2026-07-12T02:02:30Z
REF_7C10FA3F,PAY_93BAF51E,824700,INR,2026-08-26T14:05:17Z
REF_3A564ED6,PAY_F4EB2343,139900,INR,2026-08-10T01:15:04Z
REF_4F4D666D,PAY_C7B1C286,877900,INR,2026-08-01T05:06:17Z
REF_897A8028,PAY_3A4D4E05,848500,INR,2026-07-12T16:32:34Z
REF_CB19653D,PAY_80D4729E,41900,INR,2026-07-06T03:29:14Z
REF_8B7461BB,PAY_47A8B830,760900,INR,2026-07-28T21:51:39Z
REF_6CBB8630,PAY_86B1422F,242800,INR,2026-09-02T09:39:14Z
REF_13EB515E,PAY_3B7025A0,878550,INR,2026-08-18T18:55:38Z
REF_E2ED2DAA,PAY_7CC3C540,715400,INR,2026-08-15T10:45:35Z
REF_D19BDF8A,PAY_77CC0351,875850,INR,2026-07-06T13:43:14Z
REF_80253790,PAY_BB3634DC,287900,INR,2026-07-25T08:55:43Z
REF_BE3CBD43,PAY_4B4F8E33,240200,INR,2026-08-07T01:31:47Z
REF_AA7FB6BC,PAY_7738DA38,376750,INR,2026-08-06T05:56:17Z
REF_17A66CEC,PAY_22E96B32,256700,INR,2026-07-15T17:20:13Z
REF_A2D87152,PAY_D4057AEA,879050,INR,2026-08-16T16:57:18Z
REF_EA2DAEBE,PAY_9ACE3E4B,900000,INR,2026-07-28T06:32:08Z
REF_E6AE0CB8,PAY_957EF3B2,954550,INR,2026-07-28T04:10:19Z
REF_86238FD0,PAY_6E361377,646300,INR,2026-09-02T18:47:43Z
REF_1299BBBF,PAY_0DE901B9,844350,INR,2026-08-20T18:04:57Z
REF_F07F23EA,PAY_15368842,268650,INR,2026-08-26T01:15:06Z
REF_C1C6453B,PAY_BE9EE212,952150,INR,2026-08-19T02:39:12Z
REF_4A4A32AD,PAY_188D4A15,591350,INR,2026-08-13T00:55:23Z
REF_3DB17177,PAY_E983722F,126250,INR,2026-08-20T13:09:07Z
REF_40202543,PAY_FBFE4BA7,113200,INR,2026-08-13T17:59:35Z
REF_6C4FA4F4,PAY_F9CFE575,353450,INR,2026-07-23T12:29:18Z
REF_EDC6707A,PAY_271AF1DA,513950,INR,2026-08-16T13:34:19Z
REF_02056AF2,PAY_3B39EF7E,445500,INR,2026-07-04T21:31:02Z
REF_53A84D9A,PAY_99A70578,652150,INR,2026-08-11T22:59:39Z
REF_83201227,PAY_B4F567C6,298650,INR,2026-08-11T18:08:10Z
REF_EF15F1ED,PAY_D2163E30,126100,INR,2026-08-03T02:11:13Z
REF_67B0CBA6,PAY_EF09BB0C,342100,INR,2026-07-04T11:02:39Z
REF_864D336D,PAY_A7F72117,253950,INR,2026-08-31T22:53:23Z
REF_075AD20A,PAY_B1025BB7,198300,INR,2026-08-30T17:07:35Z
REF_C7B34A24,PAY_0DB678DE,459250,INR,2026-07-23T19:50:43Z
REF_A09B2555,PAY_8933EFFF,625400,INR,2026-08-31T10:23:54Z
REF_FBDCD03D,PAY_52189497,695050,INR,2026-08-10T05:50:02Z
REF_6586057C,PAY_87965BEF,395050,INR,2026-08-27T14:32:25Z
REF_47587170,PAY_9678D497,33600,INR,2026-08-22T03:47:56Z
REF_752F18D5,PAY_26E372C1,239950,INR,2026-08-05T16:38:27Z
REF_2E3CE916,PAY_7DDD7D3C,935850,INR,2026-08-08T11:58:25Z
REF_700B9242,PAY_D64C5C2D,900050,INR,2026-08-31T10:29:27Z
REF_46F76E3B,PAY_86C48898,38650,INR,2026-08-05T06:39:49Z
REF_A63B74ED,PAY_27547EF7,470100,INR,2026-08-30T15:18:00Z
REF_53E83D73,PAY_6717EB49,73150,INR,2026-08-01T22:26:44Z
REF_0A460BB5,PAY_19B2ED68,216150,INR,2026-08-01T09:05:06Z
REF_F294AFF8,PAY_CF1AD89A,509250,INR,2026-07-06T00:42:19Z
REF_2F5B013C,PAY_52DAD67D,84200,INR,2026-08-04T20:09:00Z
REF_504D2062,PAY_A6335188,278650,INR,2026-08-08T01:06:08Z
REF_F74041E9,PAY_21B6D852,292850,INR,2026-07-08T22:52:14Z
REF_8AC6C553,PAY_D7AA86E5,564800,INR,2026-07-16T02:10:24Z
REF_A27641C7,PAY_EE60C5F8,246300,INR,2026-07-07T16:12:56Z
REF_677F4B7D,PAY_5880E49B,672200,INR,2026-08-19T03:24:21Z
REF_EE2E2F73,PAY_F8D2A667,661900,INR,2026-07-19T17:36:40Z
REF_FD5942E9,PAY_D27C74AD,170450,INR,2026-08-16T21:42:55Z
REF_73E3B9B4,PAY_BDAA7DA9,984200,INR,2026-07-24T02:01:11Z
REF_9F6096DC,PAY_C12B3AF6,540400,INR,2026-07-27T17:28:40Z
REF_A0B6C0D9,PAY_F0341DCC,277700,INR,2026-09-02T00:15:54Z
REF_9C5076AC,PAY_749DA559,376850,INR,2026-08-11T00:24:55Z
REF_40E58EFB,PAY_48D81EFE,443950,INR,2026-07-22T14:30:42Z
REF_655EC946,PAY_7C5DB4F5,613450,INR,2026-08-26T02:43:53Z
REF_9FA7157E,PAY_02121850,620900,INR,2026-07-09T10:57:53Z
REF_682AEA1B,PAY_4570F10A,235300,INR,2026-09-01T04:24:40Z
REF_F8CA6E9D,PAY_3F9EA8B2,311350,INR,2026-07-12T14:51:34Z
REF_3074C832,PAY_5478980C,147850,INR,2026-08-01T22:46:17Z
