settlement_id,merchant_id,gross_amount,fees,tax,refunds,chargebacks,adjustments,net_amount,currency,status,created_at,payment_reference
SET_47F4422D,MERCH_002,1196400,23928,4307,0,0,0,1168165,INR,PROCESSED,2026-08-26T15:07:46Z,REF-PAY_26840E16
SET_D378E6FB,MERCH_023,1774300,35486,6387,0,0,0,1732427,INR,PROCESSED,2026-07-04T14:59:06Z,REF-PAY_7C23BCB7
SET_28224AF9,MERCH_043,1476600,29532,5315,0,0,0,1441653,INR,PROCESSED,2026-08-17T21:35:28Z,REF-PAY_9A75B68F
SET_E2642D8D,MERCH_020,1498700,29974,5395,0,0,0,1463331,INR,PROCESSED,2026-08-30T02:04:07Z,REF-PAY_9377FA4D
SET_C6D5705E,MERCH_011,1913600,38272,6888,0,0,0,1868440,INR,PROCESSED,2026-08-23T02:54:49Z,REF-PAY_914D6552
SET_E92A5F7D,MERCH_003,222500,4450,801,0,0,0,217249,INR,PROCESSED,2026-07-21T23:42:24Z,REF-PAY_40CFB7F8
SET_E0AC0582,MERCH_025,1134300,22686,4083,0,0,0,1066331,INR,PROCESSED,2026-08-08T16:35:08Z,REF-PAY_B2424129
SET_A831C3B8,MERCH_043,1963000,39260,7066,0,0,0,1916674,INR,PROCESSED,2026-07-29T20:40:31Z,REF-PAY_AABCA194
SET_8BD0C1B1,MERCH_016,1030500,20610,3709,0,0,0,1006181,INR,PROCESSED,2026-08-02T16:11:38Z,REF-PAY_09DBAE7D
SET_3656F79E,MERCH_024,340400,6808,1225,0,0,0,332367,INR,PROCESSED,2026-09-01T18:06:41Z,SETTLE-MERCH_024-BULK
SET_1786B757,MERCH_028,586100,11722,2109,0,0,0,572269,INR,PROCESSED,2026-08-27T20:28:33Z,REF-PAY_A5CDF18C
SET_A2F702F3,MERCH_026,684200,13684,2463,0,0,0,668053,INR,PROCESSED,2026-07-31T20:46:32Z,REF-PAY_02968BB7
SET_A76CDA84,MERCH_012,702300,14046,2528,0,0,0,685776,INR,PROCESSED,2026-07-06T15:14:17Z,REF-PAY_81DD87C6
SET_A7351B5E,MERCH_011,190300,3806,685,0,0,0,185809,INR,PROCESSED,2026-08-31T03:54:17Z,REF-PAY_8BD58030-TYPO
SET_8B52FDFF,MERCH_034,1885100,37702,6786,0,0,0,1840612,INR,PROCESSED,2026-08-27T05:13:19Z,REF-PAY_0DF54C97
SET_2399E0E9,MERCH_042,1892400,37848,6812,0,0,0,1847740,INR,PROCESSED,2026-08-25T13:51:50Z,REF-PAY_80917E9F
SET_298A8CBB,MERCH_011,546300,10926,1966,0,0,0,533408,INR,PROCESSED,2026-07-30T23:45:39Z,REF-PAY_1750D0A2
SET_9BA8ECD5,MERCH_009,1356100,27122,4881,0,0,0,1324097,INR,PROCESSED,2026-08-19T01:39:47Z,REF-PAY_93988520
SET_15F3B3A9,MERCH_020,733400,14668,2640,0,0,0,716092,INR,PROCESSED,2026-07-03T04:10:52Z,REF-PAY_DAB257AC
SET_BE7BC29A,MERCH_018,235700,4714,848,0,0,0,230138,INR,PROCESSED,2026-08-31T06:38:24Z,REF-PAY_278E6FA2
SET_594A3E06,MERCH_036,1212300,24246,4364,0,0,0,1183690,INR,PROCESSED,2026-08-26T01:48:07Z,REF-PAY_7F766190
SET_4CE95559,MERCH_030,1035600,20712,3728,0,0,0,1011160,INR,PROCESSED,2026-07-30T16:02:39Z,REF-PAY_316A163F
SET_CE38DD35,MERCH_038,725900,14518,2613,0,0,0,708669,INR,PROCESSED,2026-07-03T01:40:33Z,REF-PAY_BBBFD806
SET_410A132D,MERCH_032,1738500,34770,6258,0,1738500,0,-41028,INR,PROCESSED,2026-08-10T10:42:59Z,REF-PAY_18969029
SET_439639AC,MERCH_049,40300,806,145,0,0,0,39349,INR,PROCESSED,2026-07-25T18:18:19Z,REF-PAY_EF312A92-TYPO
SET_BA4F3447,MERCH_008,124400,2488,447,0,0,0,121465,INR,PROCESSED,2026-08-20T03:54:07Z,REF-PAY_3E2E8B42
SET_D6D023BD,MERCH_034,279300,5586,1005,0,0,0,272709,INR,PROCESSED,2026-07-15T01:51:55Z,REF-PAY_BBB2AF68
SET_3E1708F2,MERCH_001,835400,16708,3007,0,0,0,815685,INR,PROCESSED,2026-08-29T08:09:45Z,REF-PAY_D3574B18
SET_D8F8B8D2,MERCH_022,1670600,33412,6014,0,0,0,1631074,INR,PROCESSED,2026-07-21T19:00:17Z,REF-PAY_710195DC
SET_38DE3615,MERCH_002,1734300,34686,6243,0,0,0,1671971,INR,PROCESSED,2026-08-27T23:49:50Z,REF-PAY_DBE27323
SET_EAB16EFE,MERCH_031,1572900,31458,5662,0,0,0,1535780,INR,PROCESSED,2026-08-19T20:47:57Z,REF-PAY_AAF16CA9-TYPO
SET_3966DE33,MERCH_002,427800,8556,1540,0,427800,0,-10096,INR,PROCESSED,2026-08-15T18:18:58Z,REF-PAY_1C168E6E
SET_346CD5DB,MERCH_046,1550000,31000,5580,0,0,0,1513420,INR,PROCESSED,2026-08-02T07:16:08Z,REF-PAY_47F179EA
SET_3DDE3305,MERCH_024,427800,8556,1540,0,0,0,417704,INR,PROCESSED,2026-07-04T06:46:58Z,REF-PAY_5895706C
SET_7EBC2D1E,MERCH_009,916700,18334,3300,0,0,0,895066,INR,PROCESSED,2026-07-27T18:50:22Z,REF-PAY_ACCB35E2
SET_2F7D3478,MERCH_014,255100,5102,918,0,0,0,249080,INR,PROCESSED,2026-07-19T22:46:41Z,REF-PAY_4FCC85D7
SET_60144504,MERCH_047,1964100,39282,7070,982050,0,0,935698,INR,PROCESSED,2026-08-27T11:58:14Z,REF-PAY_F505E5F0
SET_ED06A29E,MERCH_030,295000,5900,1062,0,0,0,288038,INR,PROCESSED,2026-08-09T12:57:12Z,REF-PAY_861DCD6D
